Action Key,Process ID,Parent ID,Root Stage ID,Stage,Level #,Level Type,Action / Task,RACI Source ID,RACI Source Task,RACI Assignment Type,Responsible,Accountable,Consulted,Informed,Primary Swimlane,Gate,Recommended View,Status,Priority,AppSheet Show?,Original Row
1-1,1.1,1,1,ENGAGEMENT - Presolicitation,1,Process,Source Lead,1.1,Source Lead,Direct,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,3
1-1-1,1.1.1,1.1,1,ENGAGEMENT - Presolicitation,3,Task,Download Monthly F7,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,4
1-1-1-1,1.1.1.1,1.1.1,1,ENGAGEMENT - Presolicitation,4,Subtask,Seamless AI to Validate Contacts,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,5
1-1-1-2,1.1.1.2,1.1.1,1,ENGAGEMENT - Presolicitation,4,Subtask,Review Source for Duplicates,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,6
1-1-1-3,1.1.1.3,1.1.1,1,ENGAGEMENT - Presolicitation,4,Subtask,Load Source to CRM,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,7
1-1-1-4,1.1.1.4,1.1.1,1,ENGAGEMENT - Presolicitation,4,Subtask,Industry Specific Marketing Material Mailed,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,8
1-1-2,1.1.2,1.1,1,ENGAGEMENT - Presolicitation,3,Task,Contact Source Leads,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,9
1-1-2-1,1.1.2.1,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,Returning Client: Review History,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,10
1-1-2-2,1.1.2.2,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,No Contact: Voice Mail Drop through Cloud Call,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,11
1-1-2-3,1.1.2.3,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,No Contact: Note CRM,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,12
